Day,Profit
0,0
1,-3.4134549999998853
2,-6.810731999999916
3,-10.361697000000277
4,-10.361697000000277
5,-14.050170000000435
6,-17.900418000001082
7,-17.900418000001082
8,-17.900418000001082
9,-21.014589000000342
10,-24.347157000000152
11,-8.16964200000075
12,-1.6339260000004288
13,-5.411376000000018
14,-5.411376000000018
15,-5.411376000000018
16,-9.649885000000722
17,-13.734707000001436
18,-18.054103000002215
19,-35.42875500000264
20,-14.721540000002278
21,-2.515608000001521
22,-6.640872000001764
23,-6.640872000001764
