Sample,Total Profit,avg,
0,1.051535,,avg
1,1.69864,,1.2182722
2,1.69864,,
3,1.69864,,
4,1.69864,,
5,1.819975,,
6,1.69864,,
7,1.69864,,
8,1.69864,,
9,1.69864,1.646063,
0,2.143525,,
1,2.143525,,
2,2.143525,,
3,2.143525,,
4,2.143525,,
5,2.143525,,
6,2.143525,,
7,2.143525,,
8,2.750185,,
9,2.750185,2.264857,
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,0,
0,0,,
1,0,,
2,0.32355,,
3,0,,
4,0,,
5,0,,
6,0.32355,,
7,0,,
8,0,,
9,0,0.06471,
0,1.536875,,
1,1.488341,,
2,1.536875,,
3,1.536875,,
4,1.464074,,
5,1.464074,,
6,1.536875,,
7,1.439807,,
8,1.536875,,
9,1.536875,1.5077546,
0,-0.404435,,
1,-0.404435,,
2,1.41554,,
3,1.41554,,
4,-0.404435,,
5,-0.404435,,
6,1.41554,,
7,-0.404435,,
8,1.41554,,
9,-0.404435,0.323555,
0,1.41554,,
1,1.41554,,
2,1.41554,,
3,1.41554,,
4,1.41554,,
5,1.41554,,
6,1.41554,,
7,1.41554,,
8,1.41554,,
9,1.41554,1.41554,
0,4.044385,,
1,4.044385,,
2,4.044385,,
3,1.0111,,
4,2.103085,,
5,1.0111,,
6,4.044385,,
7,1.0111,,
8,4.044385,,
9,-0.12133,2.523698,
